ProductID,ProductName,Category,SupplierID,UnitPrice,UnitsInStock
1,American Sort,Watches,6,1174.46,445
2,Player Impact,Books,4,844.6,83
3,Least Hundred,Computers,8,2629.81,387
4,Down Offer,Electronics,6,600.41,330
5,Soldier Community,Electronics,11,4878.55,226
6,Put Left,Furniture,8,1711.74,480
7,Region Shake,Home Appliances,1,568.21,87
8,Dream Until,Groceries,3,1370.15,116
9,Third Former,Beauty,4,927.28,430
10,Dinner Your,Home Appliances,11,3210.24,378
11,Identify Military,Home Appliances,3,2114.85,1
12,Job Day,Watches,7,3903.23,403
13,Clearly Support,Toys,11,1710.8,459
14,Maintain Concern,Books,11,2173.41,388
15,First Federal,Computers,7,4888.72,500
16,Simple Fire,Groceries,5,208.26,455
17,Reality Company,Electronics,5,4446.07,130
18,East Them,Photography,10,3536.12,87
19,Surface Green,Beauty,3,3189.88,364
20,Magazine According,Groceries,1,3662.1,293
21,Reflect Usually,Computers,7,2967.98,297
22,Forward Ten,Home Appliances,6,2162.58,386
23,Authority Walk,Toys,6,4436.11,221
24,Worker Business,Beauty,9,4734.61,388
25,Loss Be,Watches,6,596.97,486
26,Your Change,Electronics,9,2127.63,45
27,Role Society,Watches,4,2790.9,382
28,Need Region,Beauty,4,4022.57,22
29,Set Her,Toys,11,3904.88,110
30,West Role,Furniture,12,1542.34,116
31,Enough Get,Watches,1,2218.08,243
32,Education Century,Watches,2,4285.8,378
33,All Market,Photography,10,1247.42,22
34,Easy Professor,Electronics,4,3492.36,333
35,Keep According,Photography,10,4152.26,334
36,Available Expert,Home Appliances,10,3486.82,373
37,Firm Second,Beauty,4,1602.51,224
38,Art Push,Photography,8,1516.43,301
39,Attention Door,Books,12,2389.11,130
40,People Establish,Books,4,3465.25,465
41,Firm Recently,Books,9,2082.94,310
42,Fall Statement,Home Appliances,2,4741.72,388
43,Government Sure,Home Appliances,3,3880.52,175
44,Price Specific,Photography,5,3301.19,282
45,True Face,Watches,6,4213.75,79
46,Put Support,Photography,6,1939.21,410
47,Win Door,Electronics,12,141.03,37
48,New Affect,Photography,3,733.34,225
49,Military Grow,Electronics,7,3944.26,133
50,Billion Agree,Clothing,1,415.31,105
51,Hour Rise,Watches,11,3316.48,293
52,Travel Sell,Home Appliances,12,2870.63,310
53,Fast But,Toys,7,4539.19,310
54,Want Begin,Sportswear,10,1433.12,100
55,Relate Quality,Computers,10,2288.27,420
56,Rise Certain,Sportswear,4,1266.09,2
57,South Tend,Home Appliances,5,2078.92,280
58,Stage Job,Beauty,1,50.3,257
59,Why Admit,Home Appliances,6,1637.97,4
60,Beat General,Sportswear,2,598.37,305
61,There May,Computers,9,564.97,306
62,Practice Easy,Clothing,5,1284.15,429
63,Last Election,Furniture,8,3045.37,358
64,Hold Along,Books,9,621.25,275
65,Discuss Time,Books,9,2379.61,483
66,Message Floor,Furniture,12,3663.29,231
67,Third Body,Computers,12,1249.46,291
68,Window Public,Toys,8,572.48,173
69,Prepare For,Photography,6,1941.98,260
70,Finish There,Photography,2,1167.77,496
71,Over Something,Home Appliances,6,1777.45,161
72,Suggest Into,Home Appliances,3,1283.22,18
73,Something Too,Beauty,12,4374.04,454
74,Detail Wait,Books,5,3192.61,336
75,Also Traditional,Computers,10,4651.12,268
76,Onto Face,Furniture,10,2623.16,128
77,Force Deep,Furniture,7,2252.61,161
78,Maintain Lose,Toys,10,527.05,97
79,Necessary Across,Toys,4,2035.58,379
80,Pressure Ago,Clothing,4,3305.15,184
81,Conference Scene,Computers,5,1866.2,479
82,Product Develop,Clothing,4,3631.63,277
83,Unit We,Groceries,5,3595.54,234
84,Mrs Personal,Home Appliances,9,4616.43,287
85,Manager Next,Home Appliances,4,2213.38,475
86,Which Seek,Electronics,6,280.29,248
87,Oil For,Books,5,2989.61,46
88,We South,Electronics,11,4167.05,68
89,Same Power,Computers,10,3162.92,221
90,Of Step,Furniture,5,4241.98,384
91,Address Everybody,Books,2,4677.47,390
92,Dream Drop,Photography,2,97.17,116
93,Easy Director,Books,4,48.61,425
94,Government Cup,Groceries,11,3218.86,483
95,Shake Campaign,Electronics,3,3137.11,427
96,Decade Style,Electronics,11,2849.7,420
97,Will Term,Watches,11,2116.66,49
98,Leave Off,Beauty,6,3337.88,483
99,Newspaper Final,Home Appliances,11,2318.47,372
100,Manager Learn,Watches,10,1349.65,384
101,Deal Community,Watches,5,3738.3,85
102,Tv Little,Beauty,4,3850.79,428
103,Management Yard,Electronics,5,1521.47,418
104,Stage Sure,Computers,9,1617.19,433
105,Billion Cold,Electronics,7,2248.89,319
106,Five Idea,Beauty,11,4632.75,205
107,Will Spring,Home Appliances,4,3583.99,101
108,Wonder House,Furniture,12,4940.05,65
109,Whole Send,Toys,7,2055.31,492
110,Card Show,Furniture,1,1171.43,51
111,Beat Personal,Beauty,9,2445.35,260
112,Each College,Groceries,8,2691.43,324
113,Reflect Direction,Books,5,2756.27,123
