OrderDetailID,OrderID,ProductID,Quantity,UnitPrice
1,183,597,1,483.51
2,1253,523,7,494.62
3,1736,131,5,336.96
4,128,379,9,78.43
5,1983,55,1,127.71
6,1441,574,6,51.25
7,225,882,5,388.68
8,1773,32,4,50.0
9,885,720,10,440.46
10,808,641,6,477.53
11,1458,392,7,295.3
12,782,446,9,416.69
13,433,679,3,309.24
14,973,143,4,331.13
15,1138,394,6,470.86
16,1721,428,3,232.75
17,591,894,3,88.35
18,276,12,2,366.22
19,1328,17,3,193.16
20,1478,907,8,333.75
21,1348,448,3,292.26
22,174,141,7,164.51
23,1762,467,10,456.66
24,1906,436,10,55.89
25,369,466,9,352.9
26,869,566,8,175.53
27,788,364,4,388.31
28,381,435,10,479.32
29,16,592,8,127.89
30,1735,749,4,417.51
31,1459,514,5,124.36
32,842,949,9,111.79
33,1181,376,1,499.3
34,78,582,8,478.54
35,1444,378,2,41.38
36,1189,494,2,18.95
37,291,748,9,102.11
38,1760,769,5,479.85
39,953,530,2,401.57
40,1072,912,10,27.74
41,182,252,8,66.56
42,1292,760,2,467.28
43,1401,649,9,209.58
44,1635,594,5,382.75
45,1256,55,6,127.71
46,1096,798,1,50.3
47,961,465,9,323.53
48,1856,481,10,269.34
49,1503,340,7,270.6
50,723,984,5,187.62
51,593,172,1,246.67
52,1424,946,10,213.33
53,1535,312,10,343.15
54,534,63,8,51.69
55,1185,174,10,400.08
56,106,673,5,477.25
57,1657,756,10,29.01
58,56,294,8,482.59
59,169,130,9,344.99
60,158,872,5,160.72
61,517,136,10,279.43
62,576,282,5,440.27
63,30,760,2,467.28
64,1237,179,10,192.66
65,1514,155,8,299.75
66,758,828,3,242.22
67,536,802,4,49.36
68,994,186,9,420.42
69,1766,34,6,300.22
70,173,991,3,380.67
71,1220,957,3,221.56
72,1716,508,7,97.72
73,1578,393,4,336.66
74,1354,451,3,79.68
75,432,592,6,127.89
76,112,658,5,498.6
77,1548,840,2,387.31
78,108,172,8,246.67
79,817,488,5,146.11
80,976,765,9,404.05
81,479,389,7,461.88
82,972,269,3,435.34
83,1087,892,7,407.7
84,25,296,8,265.35
85,783,695,6,175.54
86,1970,543,1,304.52
87,200,940,9,106.7
88,1306,363,7,295.26
89,1251,941,5,375.18
90,687,277,5,473.8
91,1644,101,5,453.14
92,1341,599,7,441.76
93,945,792,4,181.13
94,1504,689,10,246.97
95,1578,200,9,219.59
96,692,694,3,112.86
97,642,561,1,307.91
98,1378,9,2,173.42
99,25,422,2,252.63
100,1076,107,8,275.07
101,720,225,5,117.6
102,516,198,1,39.13
103,49,635,2,244.67
104,117,962,10,10.62
105,1345,916,4,154.42
106,1947,614,2,495.35
107,1451,981,2,490.8
108,177,877,10,87.79
109,267,385,10,217.88
110,1645,991,3,380.67
111,1836,114,3,17.27
112,519,302,8,444.28
113,1353,959,2,229.42
114,1309,465,5,323.53
115,1576,438,6,42.3
116,528,166,2,273.59
117,568,796,1,193.1
118,784,398,6,423.46
119,124,265,5,332.98
120,365,452,2,406.43
121,1008,951,4,384.72
122,1250,403,3,19.33
123,1322,504,2,419.16
124,295,554,7,356.22
125,448,629,2,365.06
126,1870,453,5,46.74
127,212,36,2,431.09
128,145,586,5,159.73
129,1592,457,1,341.05
130,1837,510,3,256.13
131,1338,656,1,362.94
132,1911,39,7,220.21
133,546,156,6,308.26
134,1853,401,10,339.11
135,8,528,8,172.82
136,980,447,7,309.43
137,1729,746,2,77.23
138,1107,232,1,411.95
139,788,978,8,458.35
140,249,581,9,445.05
141,1915,368,6,396.04
142,1397,311,7,91.66
143,114,648,2,116.71
144,749,548,6,457.2
145,165,862,8,295.57
146,1558,785,5,169.21
147,1327,208,3,19.21
148,1136,41,7,256.3
149,1354,196,5,302.2
150,1426,400,2,487.4
151,1292,706,6,274.5
152,997,87,8,359.51
153,1506,195,3,55.44
154,74,198,1,39.13
155,1475,608,4,469.78
156,1002,399,2,289.18
157,1624,554,5,356.22
158,1024,547,8,369.16
159,1980,17,1,193.16
160,695,58,6,118.33
161,1614,739,1,106.23
162,831,122,4,178.82
163,1653,670,9,203.41
164,939,963,9,261.03
165,306,759,10,189.73
166,478,948,2,13.26
167,76,754,3,458.87
168,1002,670,1,203.41
169,966,929,10,322.58
170,94,249,3,454.66
171,30,177,1,18.42
172,1853,315,2,340.42
173,935,626,3,99.44
174,1711,606,2,341.8
175,1675,838,2,261.8
176,234,510,10,256.13
177,1637,631,4,265.11
178,130,824,4,39.23
179,873,346,7,455.15
180,665,124,10,62.09
181,1118,141,6,164.51
182,1714,988,4,79.53
183,1566,47,10,33.67
184,356,344,2,442.7
185,248,281,3,99.35
186,1552,426,3,321.87
187,1427,379,9,78.43
188,338,450,4,98.18
189,1896,596,1,49.57
190,274,103,10,6.76
191,771,797,3,371.13
192,33,901,8,138.01
193,166,7,1,114.12
194,368,949,2,111.79
195,1448,668,10,91.87
196,1817,291,7,26.61
197,1421,827,8,395.59
198,1418,130,4,344.99
199,294,656,5,362.94
200,1072,462,7,458.79
201,490,961,3,64.12
202,1251,709,1,20.95
203,1222,185,8,378.35
204,1254,974,2,238.52
205,1285,847,5,153.63
206,713,429,1,221.17
207,1143,242,4,123.73
208,241,543,2,304.52
209,1268,371,9,36.46
210,1040,225,8,117.6
211,1578,642,4,25.82
212,567,55,4,127.71
213,231,816,3,104.42
214,1404,865,8,46.95
215,1019,181,3,377.24
216,1373,945,1,467.29
217,111,661,6,464.59
218,584,215,7,150.65
219,515,343,10,339.04
220,1649,912,8,27.74
221,89,107,1,275.07
222,1895,551,3,72.19
223,324,805,1,363.8
224,994,528,2,172.82
225,146,917,4,329.02
226,1478,456,10,459.38
227,1188,334,7,457.45
228,408,766,6,459.43
229,472,798,2,50.3
230,668,234,2,78.85
231,486,756,7,29.01
232,1782,205,7,137.86
233,1826,226,2,355.47
234,965,600,8,146.45
235,112,912,7,27.74
236,297,222,10,99.81
237,932,183,7,272.01
238,765,140,8,217.79
239,1475,199,6,425.54
240,1998,277,4,473.8
241,688,131,1,336.96
242,1418,583,1,206.02
243,575,140,2,217.79
244,1745,477,8,405.48
245,857,176,6,453.93
246,451,908,5,201.87
247,1237,161,10,123.43
248,1855,175,10,460.17
249,1987,567,4,321.7
250,178,422,9,252.63
251,1002,883,4,412.19
252,1212,485,8,401.62
253,572,15,7,353.76
254,1508,894,4,88.35
255,508,336,7,481.63
256,1187,228,10,472.32
257,1938,153,10,459.15
258,1840,6,7,359.43
259,91,42,8,421.63
260,1503,788,9,53.35
261,69,436,9,55.89
262,808,491,2,442.89
263,927,508,4,97.72
264,171,572,1,129.05
265,1420,750,7,472.01
266,1946,224,3,300.41
267,735,303,4,310.64
268,1327,93,1,187.92
269,983,686,5,451.93
270,332,721,8,340.98
271,1758,585,10,234.9
272,50,1000,8,149.38
273,950,791,3,140.3
274,1791,721,7,340.98
275,379,809,6,213.45
276,1284,476,1,94.52
277,1763,643,2,176.45
278,789,915,6,497.87
279,1088,34,5,300.22
280,873,771,5,414.89
281,1430,969,10,32.44
282,1111,590,4,227.55
283,1614,702,2,70.83
284,1271,902,6,42.38
285,1507,955,1,166.74
286,1055,969,6,32.44
287,1819,53,2,159.3
288,785,375,8,154.31
289,1268,42,6,421.63
290,751,180,9,172.06
291,1444,69,9,437.87
292,1453,793,4,96.94
293,284,343,4,339.04
294,1106,117,8,194.36
295,1511,962,10,10.62
296,1785,983,4,167.01
297,1543,763,4,141.0
298,657,362,5,38.96
299,1032,697,7,147.11
300,568,56,2,296.21
301,764,354,8,469.83
302,996,514,9,124.36
303,1699,126,8,300.3
304,1454,545,9,73.16
305,1843,300,8,426.62
306,1272,377,2,344.62
307,386,914,8,230.98
308,179,83,7,64.34
309,1839,184,5,326.82
310,1963,980,2,451.46
311,224,169,5,193.29
312,230,714,3,121.0
313,1017,155,4,299.75
314,1067,975,1,465.92
315,601,427,9,15.32
316,1909,136,8,279.43
317,711,431,8,435.91
318,1511,661,1,464.59
319,598,194,2,298.09
320,46,893,4,178.65
321,1710,971,9,447.66
322,1321,344,7,442.7
323,1186,352,6,364.67
324,996,608,9,469.78
325,1725,562,8,202.09
326,938,312,10,343.15
327,271,920,5,378.84
328,352,809,5,213.45
329,465,496,6,23.96
330,1989,296,1,265.35
331,304,362,5,38.96
332,934,980,3,451.46
333,1267,947,3,382.55
334,1458,549,5,353.5
335,374,997,3,292.48
336,1719,726,3,425.42
337,331,244,2,237.61
338,85,325,10,305.5
339,260,452,5,406.43
340,758,189,4,384.61
341,1152,725,1,96.02
342,1364,325,6,305.5
343,303,382,8,229.59
344,1106,999,3,35.83
345,1093,309,2,190.55
346,1886,26,7,160.77
347,1907,512,3,196.51
348,1942,470,6,474.1
349,320,5,9,255.15
350,1999,520,6,389.21
351,1326,723,5,193.67
352,971,918,5,333.93
353,1986,967,10,36.62
354,1366,151,10,390.32
355,1493,929,8,322.58
356,694,706,2,274.5
357,1499,491,1,442.89
358,286,695,9,175.54
359,240,316,1,472.89
360,823,633,4,339.55
361,914,366,2,129.07
362,669,57,10,8.56
363,1314,200,10,219.59
364,1079,228,5,472.32
365,401,24,2,118.38
366,1103,870,8,459.98
367,1387,688,2,62.54
368,1999,525,7,181.7
369,399,503,6,397.98
370,1236,620,9,18.19
371,1933,58,6,118.33
372,815,152,7,261.39
373,758,396,6,56.28
374,25,292,6,457.15
375,720,316,8,472.89
376,1791,575,2,471.1
377,442,746,8,77.23
378,1519,426,8,321.87
379,592,168,7,473.3
380,1493,918,7,333.93
381,286,856,10,111.32
382,1225,89,3,161.51
383,426,311,8,91.66
384,1777,538,6,337.24
385,136,956,10,342.12
386,1549,385,2,217.88
387,14,420,5,8.83
388,849,180,9,172.06
389,947,728,10,209.28
390,1547,937,3,324.09
391,409,191,7,482.54
392,593,568,8,219.15
393,87,843,5,416.5
394,1710,600,5,146.45
395,1012,573,8,66.96
396,460,28,1,136.12
397,316,269,5,435.34
398,1958,656,8,362.94
399,255,670,5,203.41
400,855,184,8,326.82
401,1858,705,4,489.35
402,59,123,5,490.67
403,1010,994,2,357.27
404,1227,764,6,253.6
405,1191,493,10,196.15
406,894,890,5,178.56
407,1287,703,8,93.34
408,1996,711,2,107.01
409,765,525,10,181.7
410,36,866,5,123.09
411,334,596,1,49.57
412,300,328,8,53.1
413,1799,710,3,384.2
414,732,168,1,473.3
415,559,370,7,372.15
416,1304,934,6,448.81
417,100,297,5,76.36
418,1085,655,2,327.89
419,1053,199,3,425.54
420,1567,97,10,62.14
421,1542,172,9,246.67
422,661,894,6,88.35
423,1694,866,5,123.09
424,556,702,6,70.83
425,197,548,10,457.2
426,721,844,3,159.39
427,27,141,9,164.51
428,577,382,8,229.59
429,844,349,3,444.19
430,210,224,3,300.41
431,1031,227,4,487.28
432,1629,919,9,201.19
433,1257,707,9,127.52
434,1733,545,9,73.16
435,1439,775,2,423.44
436,855,472,2,422.99
437,239,839,3,114.41
438,1892,18,8,85.51
439,714,320,6,289.53
440,285,837,8,53.81
441,1823,612,9,305.1
442,1564,994,6,357.27
443,353,727,5,403.86
444,59,763,2,141.0
445,456,132,3,474.69
446,1410,233,5,290.63
447,257,215,3,150.65
448,161,436,2,55.89
449,160,20,8,40.34
450,1552,442,1,161.49
451,403,111,1,180.07
452,1625,676,9,235.37
453,1215,61,8,468.08
454,244,931,5,86.24
455,89,68,5,213.83
456,1368,11,2,424.51
457,1603,127,10,221.01
458,421,602,4,383.11
459,379,687,6,79.18
460,60,93,3,187.92
461,1733,765,5,404.05
462,1944,594,6,382.75
463,722,165,9,110.91
464,1600,747,10,291.68
465,496,518,10,234.99
466,140,102,10,318.97
467,1564,15,9,353.76
468,445,733,4,24.58
469,1975,289,3,435.45
470,1847,773,9,191.7
471,9,997,2,292.48
472,1893,220,9,362.04
473,1744,725,8,96.02
474,751,715,10,74.37
475,380,451,2,79.68
476,371,855,6,298.14
477,778,435,4,479.32
478,1054,234,7,78.85
479,232,780,6,283.94
480,254,478,2,26.63
481,1065,140,8,217.79
482,1562,370,5,372.15
483,1142,740,1,164.2
484,169,336,8,481.63
485,237,395,5,484.36
486,936,615,5,171.5
487,1408,1000,8,149.38
488,463,568,7,219.15
489,596,876,7,248.4
490,387,878,2,149.58
491,1833,862,8,295.57
492,1924,696,6,467.62
493,368,14,8,443.3
494,1377,108,7,278.5
495,898,536,2,309.35
496,245,147,7,425.62
497,821,712,10,225.99
498,209,760,3,467.28
499,133,373,4,114.67
500,694,206,10,143.07
501,1729,414,2,111.71
502,477,859,7,166.36
503,1486,512,5,196.51
504,1567,731,10,50.77
505,1216,280,7,125.65
506,730,488,10,146.11
507,1946,415,8,217.81
508,1048,286,3,499.46
509,1573,466,2,352.9
510,251,257,8,418.8
511,1019,237,3,388.97
512,61,102,1,318.97
513,1701,70,8,53.46
514,1389,28,3,136.12
515,784,620,6,18.19
516,313,311,10,91.66
517,1277,99,2,360.22
518,1354,770,9,495.17
519,1572,505,8,13.14
520,414,301,8,193.1
521,1005,517,5,407.69
522,1111,352,9,364.67
523,1120,19,1,137.15
524,882,902,2,42.38
525,786,461,6,170.01
526,1747,386,8,172.77
527,942,37,1,61.7
528,363,571,5,474.0
529,1812,724,3,211.08
530,1007,442,3,161.49
531,640,733,7,24.58
532,999,783,2,153.14
533,1166,692,8,233.88
534,1352,568,9,219.15
535,1172,482,8,187.08
536,1152,875,3,255.19
537,1038,58,7,118.33
538,540,507,10,309.33
539,1989,387,10,366.16
540,1386,362,5,38.96
541,657,63,1,51.69
542,1210,47,3,33.67
543,1715,376,6,499.3
544,1658,760,10,467.28
545,56,784,6,418.15
546,780,100,7,427.19
547,707,366,7,129.07
548,720,58,4,118.33
549,508,241,5,109.46
550,1214,87,2,359.51
551,1780,313,2,119.93
552,692,174,1,400.08
553,1103,334,1,457.45
554,944,674,7,288.57
555,1164,528,7,172.82
556,547,21,8,365.92
557,1205,23,6,280.69
558,774,585,7,234.9
559,661,587,2,494.07
560,1656,501,2,60.04
561,1415,692,4,233.88
562,689,509,9,487.45
563,1662,784,6,418.15
564,342,630,5,107.63
565,745,993,7,212.81
566,414,509,2,487.45
567,1722,871,9,87.6
568,439,295,5,169.34
569,98,305,10,219.82
570,824,824,4,39.23
571,1280,761,2,246.49
572,1470,865,10,46.95
573,195,607,6,199.98
574,560,69,10,437.87
575,1641,544,8,189.15
576,875,215,6,150.65
577,1630,79,5,33.3
578,1034,824,5,39.23
579,887,680,9,80.83
580,642,205,7,137.86
581,824,258,10,499.79
582,1056,465,9,323.53
583,370,903,1,204.41
584,1286,721,9,340.98
585,1767,192,10,464.8
586,1023,219,8,139.1
587,549,960,9,334.71
588,1657,630,7,107.63
589,1915,580,1,211.21
590,1070,206,6,143.07
591,948,152,4,261.39
592,309,765,5,404.05
593,1729,446,7,416.69
594,653,881,2,257.85
595,1299,209,7,246.34
596,547,844,5,159.39
597,1324,165,5,110.91
598,1407,616,4,247.47
599,832,245,2,354.94
600,308,197,1,176.87
601,503,817,5,484.52
602,951,498,9,227.06
603,894,433,1,318.45
604,414,164,5,119.47
605,280,30,5,449.42
606,1618,823,5,108.78
607,1349,564,3,41.51
608,1320,873,1,433.43
609,1974,740,8,164.2
610,1603,21,1,365.92
611,1761,919,2,201.19
612,643,617,5,408.8
613,1776,66,7,204.3
614,1837,373,2,114.67
615,813,966,3,170.83
616,484,115,10,402.11
617,1505,513,2,13.04
618,1069,681,10,210.84
619,1945,794,9,47.42
620,516,509,2,487.45
621,488,615,2,171.5
622,1584,827,6,395.59
623,675,853,10,322.04
624,1510,400,4,487.4
625,1916,434,4,453.43
626,296,110,3,108.99
627,439,994,5,357.27
628,901,419,5,383.26
629,1768,604,1,278.85
630,1005,547,6,369.16
631,1433,972,2,118.06
632,649,559,7,396.23
633,973,700,4,435.46
634,1973,285,3,145.01
635,744,487,6,467.48
636,1683,316,1,472.89
637,1322,991,10,380.67
638,72,862,1,295.57
639,1415,940,4,106.7
640,519,566,7,175.53
641,634,655,6,327.89
642,1850,832,2,457.63
643,1096,888,4,433.32
644,1757,454,7,127.63
645,17,932,7,315.9
646,1900,940,5,106.7
647,617,93,4,187.92
648,610,216,3,156.57
649,1876,450,6,98.18
650,1802,832,7,457.63
651,1617,35,5,498.08
652,1775,83,8,64.34
653,965,755,7,264.35
654,1898,862,6,295.57
655,1470,433,2,318.45
