OrderID,CustomerID,EmployeeID,OrderDate,ShipCity,ShipCountry,TotalAmount
1,290,14,2025-05-05,Josephview,Oman,759.35
2,480,64,2025-01-02,Phelpsburgh,Lebanon,4042.21
3,73,43,2024-03-13,Choiton,India,726.5300000000001
4,382,10,2025-08-02,New Bradleyborough,Croatia,854.38
5,122,45,2023-10-16,North Tina,Korea,2992.8
6,164,22,2025-03-10,Racheltown,Trinidad and Tobago,
7,326,12,2023-02-12,Wigginsmouth,Malta,3690.44
8,421,91,2023-02-03,East Clairetown,Chad,2923.2
9,344,82,2023-07-29,New Brian,Tanzania,6203.18
10,374,43,2023-01-23,Lake Michaelstad,Venezuela,9528.16
11,229,2,2024-04-01,Grahamport,Germany,5230.32
12,136,27,2024-03-14,South Amy,Burkina Faso,960.41
13,128,89,2025-03-27,Wolfeberg,Botswana,1088.0800000000002
14,35,45,2024-11-07,New Yvonneshire,British Indian Ocean Territory (Chagos Archipelago),104.19
15,132,14,2025-03-06,West Carol,Barbados,2020.4099999999999
16,369,1,2025-02-03,East Marissaland,Guadeloupe,3240.12
17,25,50,2024-06-15,Anthonyhaven,Albania,2965.5599999999995
18,225,94,2023-08-03,Lake Benjamin,Canada,645.3499999999999
19,215,22,2022-12-31,New Gwendolyn,Tunisia,
20,453,53,2022-11-28,East Stevenberg,Korea,1361.88
21,253,49,2025-04-17,Brownside,Brazil,4724.03
22,180,70,2023-12-05,Barkerburgh,Russian Federation,3751.21
23,193,13,2023-04-17,Mccarthyborough,South Georgia and the South Sandwich Islands,2964.79
24,425,62,2022-11-26,Natashamouth,India,1277.84
25,404,74,2023-03-28,Nicolemouth,Togo,6429.75
26,334,98,2024-07-30,Davidmouth,Germany,5914.83
27,352,29,2024-07-31,New Amanda,Namibia,1480.59
28,84,58,2024-12-08,New Nathan,Svalbard & Jan Mayen Islands,5371.67
29,38,5,2025-02-14,New Sherry,Korea,1826.0
30,151,3,2025-05-26,South Carl,Mozambique,3846.79
31,164,34,2023-10-16,Lake Tommy,Guinea-Bissau,
32,488,14,2023-03-12,North Faithfurt,Switzerland,1073.57
33,38,44,2024-11-30,East Kevin,Gambia,6733.860000000001
34,88,49,2024-03-13,Lake Brenda,Barbados,5265.99
35,83,94,2023-07-05,East Gordonberg,Guam,1257.48
36,39,71,2023-12-04,New Joshuaton,Tuvalu,8854.75
37,483,12,2023-01-20,Carrolltown,Maldives,95.9
38,174,77,2023-10-26,Danielmouth,Singapore,2423.16
39,315,62,2025-01-27,Torreston,Argentina,2650.88
40,361,4,2025-07-01,Deanburgh,Egypt,4393.53
