PaymentID,OrderID,PaymentDate,Amount,PaymentMethod
1,1044,2024-04-15,1290.94,PayPal
2,225,2023-10-25,550.0,Bank Transfer
3,1070,2025-03-25,524.53,Credit Card
4,557,2025-01-15,1726.76,Bank Transfer
5,1529,2022-12-18,819.36,Credit Card
6,1162,2024-08-20,1915.17,Credit Card
7,495,2023-03-08,1799.58,Bank Transfer
8,1659,2023-12-14,503.7,PayPal
9,1286,2023-02-19,1004.13,Credit Card
10,306,2022-09-28,1918.07,Bank Transfer
11,1574,2024-10-07,1385.48,Cash
12,1164,2023-08-16,695.77,Cash
13,397,2024-11-13,391.0,Bank Transfer
14,1477,2023-02-08,1533.04,Bank Transfer
15,1426,2023-03-03,1613.09,PayPal
16,1288,2022-11-27,815.87,Bank Transfer
17,197,2023-10-27,772.24,PayPal
18,1824,2023-01-22,504.87,Credit Card
19,1757,2024-08-02,685.57,Cash
20,1555,2022-10-18,497.51,Bank Transfer
21,1010,2022-09-24,470.6,Credit Card
22,1413,2025-07-27,171.01,PayPal
23,474,2025-01-09,833.26,Credit Card
24,420,2025-01-28,944.82,Credit Card
25,211,2023-02-21,1368.3,Cash
26,1472,2023-07-07,288.73,PayPal
27,448,2025-07-18,754.34,Credit Card
28,526,2024-05-30,43.16,Cash
29,247,2025-05-25,1982.8,Cash
30,1830,2024-11-22,433.99,Bank Transfer
31,1892,2025-08-08,488.68,Credit Card
32,192,2025-02-19,1614.72,PayPal
33,91,2024-02-19,962.5,Bank Transfer
34,1109,2022-11-23,350.73,Credit Card
35,1897,2022-11-20,1687.25,PayPal
36,1630,2025-05-15,835.38,Bank Transfer
37,205,2023-08-03,195.65,PayPal
38,1895,2023-05-09,1159.84,Credit Card
39,875,2022-11-23,1398.83,Bank Transfer
40,1543,2025-03-14,915.66,PayPal
41,56,2023-03-12,1483.02,Credit Card
42,1367,2023-12-07,565.01,PayPal
43,1685,2025-06-05,330.77,Credit Card
44,1501,2025-05-04,375.2,PayPal
45,405,2023-09-19,282.6,Cash
46,126,2025-06-25,1330.09,PayPal
47,1267,2022-11-19,286.34,Credit Card
48,1487,2022-11-27,1826.24,PayPal
49,751,2024-10-28,1261.72,Bank Transfer
50,1710,2024-10-15,1379.78,PayPal
51,1409,2025-06-25,145.27,PayPal
52,971,2023-01-21,768.61,PayPal
53,768,2022-09-29,89.56,PayPal
54,1402,2024-10-29,1688.96,Cash
55,223,2024-11-08,187.96,PayPal
56,434,2023-12-26,164.96,Cash
57,223,2024-11-25,880.54,PayPal
58,546,2025-07-25,1433.12,Bank Transfer
59,1816,2022-11-26,917.05,PayPal
60,1954,2025-08-13,909.14,PayPal
61,1252,2023-03-17,1676.65,Cash
62,572,2022-10-05,645.15,PayPal
63,1897,2024-08-20,1472.16,Credit Card
64,402,2025-04-29,823.52,Cash
65,1583,2025-02-06,1080.19,Credit Card
66,1792,2023-07-23,1171.18,PayPal
67,1845,2022-12-18,126.51,Credit Card
68,1148,2022-10-09,969.06,PayPal
69,109,2025-06-15,1045.55,PayPal
70,1637,2023-10-27,270.33,Credit Card
71,1042,2023-03-13,1719.44,Credit Card
72,495,2023-07-23,1087.23,Credit Card
73,695,2025-03-04,1059.65,Credit Card
74,532,2022-10-17,537.06,PayPal
75,1696,2023-05-05,373.05,Cash
76,1005,2022-11-28,1703.49,PayPal
77,287,2024-02-24,1609.68,PayPal
78,1432,2024-11-03,1279.77,PayPal
79,1280,2023-01-29,895.85,Cash
80,1477,2023-12-13,1275.03,Credit Card
81,1511,2023-05-12,1525.08,Cash
